dataset_name,model_name,model_architecture,text_prompt,acc_base_averageprompt_zs,acc_base_averageprompt_zs_trans
WHURS19,CLIP,RN50,averageprompt,71.54228855721394,95.92039800995025
WHURS19,CLIP,ViT-B-32,averageprompt,81.29353233830845,90.34825870646766
WHURS19,CLIP,ViT-L-14,averageprompt,85.4726368159204,99.1044776119403
WHURS19,GeoRSCLIP,ViT-B-32,averageprompt,88.75621890547264,98.70646766169155
WHURS19,GeoRSCLIP,ViT-L-14,averageprompt,88.45771144278606,98.90547263681592
WHURS19,GeoRSCLIP,ViT-H-14,averageprompt,90.44776119402985,99.70149253731343
WHURS19,RemoteCLIP,RN50,averageprompt,95.42288557213931,98.40796019900498
WHURS19,RemoteCLIP,ViT-B-32,averageprompt,95.22388059701493,97.91044776119404
WHURS19,RemoteCLIP,ViT-L-14,averageprompt,93.53233830845771,97.2139303482587
WHURS19,SkyCLIP50,ViT-B-32,averageprompt,91.04477611940298,97.81094527363184
WHURS19,SkyCLIP50,ViT-L-14,averageprompt,87.46268656716418,99.20398009950249
