dataset_name,model_name,model_architecture,text_prompt,acc_base_zs,acc_base_zs_trans
WHURS19,CLIP,RN50,a satellite photo of a,69.45273631840796,95.12437810945273
WHURS19,CLIP,RN50,a remote sensing image of many,62.6865671641791,94.5273631840796
WHURS19,CLIP,RN50,a remote sensing image of a,66.86567164179104,95.42288557213931
WHURS19,CLIP,RN50,a remote sensing image of the,65.3731343283582,95.92039800995025
WHURS19,CLIP,RN50,a remote sensing image of the hard to see,63.98009950248756,92.93532338308458
WHURS19,CLIP,RN50,a remote sensing image of a hard to see,63.681592039801,95.42288557213931
WHURS19,CLIP,RN50,a low resolution remote sensing image of the,67.06467661691542,95.62189054726367
WHURS19,CLIP,RN50,a low resolution remote sensing image of a,68.85572139303483,95.72139303482587
WHURS19,CLIP,RN50,a bad remote sensing image of the,65.3731343283582,91.14427860696517
WHURS19,CLIP,RN50,a bad remote sensing image of a,64.27860696517413,92.636815920398
WHURS19,CLIP,RN50,a cropped remote sensing image of the,65.87064676616916,95.32338308457712
WHURS19,CLIP,RN50,a cropped remote sensing image of a,65.77114427860697,95.92039800995025
WHURS19,CLIP,RN50,a bright remote sensing image of the,66.16915422885572,95.5223880597015
WHURS19,CLIP,RN50,a bright remote sensing image of a,66.3681592039801,95.72139303482587
WHURS19,CLIP,RN50,a dark remote sensing image of the,65.67164179104478,95.42288557213931
WHURS19,CLIP,RN50,a dark remote sensing image of a,66.66666666666667,95.82089552238806
WHURS19,CLIP,RN50,a close-up remote sensing image of the,65.07462686567165,95.5223880597015
WHURS19,CLIP,RN50,a close-up remote sensing image of a,64.87562189054727,95.82089552238806
WHURS19,CLIP,RN50,a black and white remote sensing image of the,68.05970149253731,95.02487562189054
WHURS19,CLIP,RN50,a black and white remote sensing image of a,71.8407960199005,94.5273631840796
WHURS19,CLIP,RN50,a jpeg corrupted remote sensing image of the,60.995024875621894,92.53731343283582
WHURS19,CLIP,RN50,a jpeg corrupted remote sensing image of a,61.99004975124378,92.53731343283582
WHURS19,CLIP,RN50,a blurry remote sensing image of the,68.55721393034825,92.636815920398
WHURS19,CLIP,RN50,a blurry remote sensing image of a,66.3681592039801,92.83582089552239
WHURS19,CLIP,RN50,a good remote sensing image of the,64.97512437810946,91.8407960199005
WHURS19,CLIP,RN50,a good remote sensing image of a,64.07960199004975,96.01990049751244
WHURS19,CLIP,RN50,a remote sensing image of the large,65.87064676616916,94.92537313432835
WHURS19,CLIP,RN50,a remote sensing image of a large,66.06965174129353,94.42786069651741
WHURS19,CLIP,RN50,a remote sensing image of the nice,70.04975124378109,95.02487562189054
WHURS19,CLIP,RN50,a remote sensing image of a nice,66.86567164179104,94.82587064676616
WHURS19,CLIP,RN50,a remote sensing image of the small,62.58706467661692,96.01990049751244
WHURS19,CLIP,RN50,a remote sensing image of a small,65.3731343283582,95.02487562189054
WHURS19,CLIP,RN50,a remote sensing image of the weird,62.48756218905473,95.5223880597015
WHURS19,CLIP,RN50,a remote sensing image of a weird,66.06965174129353,95.62189054726367
WHURS19,CLIP,RN50,a remote sensing image of the cool,66.16915422885572,94.32835820895522
WHURS19,CLIP,RN50,a remote sensing image of a cool,66.76616915422886,94.32835820895522
WHURS19,CLIP,RN50,an aerial image of many,67.46268656716418,93.03482587064677
WHURS19,CLIP,RN50,an aerial image of a,67.86069651741293,95.02487562189054
WHURS19,CLIP,RN50,an aerial image of the,67.363184079602,94.22885572139303
WHURS19,CLIP,RN50,an aerial image of the hard to see,63.88059701492537,94.12935323383084
WHURS19,CLIP,RN50,an aerial image of a hard to see,67.66169154228855,93.93034825870647
WHURS19,CLIP,RN50,a low resolution aerial image of the,67.06467661691542,94.42786069651741
